CL1,CD1,CM1,CL2,CD2,CM2,CL3,CD3,CM3,CL4,CD4,CM4
0.26859,2.8461,0.02897,0.31318,3.2102,-0.0484,0.31977,1.7241,0.13408,0.42847,2.7628,-0.10338
0.19225,2.7161,0.05347,0.25378,3.1662,-0.01727,0.41255,2.1323,0.18092,0.35441,2.753,-0.0775
0.126,2.6205,0.07029,0.19169,3.0422,0.01195,0.29507,2.5528,0.19474,0.29854,2.7982,-0.04699
0.0573,2.4991,0.08533,0.10843,2.985,0.03507,0.12177,2.7711,0.1918,0.24624,2.7545,-0.00842
-0.03191,2.3094,0.08697,0.02128,2.8308,0.04761,-0.01228,2.7995,0.19556,0.17095,2.7742,0.01509
-0.18262,2.1924,0.06471,-0.08236,2.7064,0.05872,-0.2016,2.6834,0.16552,-0.05557,2.8498,-0.02615
-0.4033,1.7972,-0.03538,-0.19872,2.5115,0.05869,-0.62778,2.3169,-0.01369,-0.43332,2.4395,-0.13624
-0.75083,1.6683,-0.22632,-0.30982,2.2258,0.03996,-0.95659,1.9568,-0.20607,-0.77514,2.0248,-0.27919
-0.30266,1.6418,0.02233,-0.50793,1.931,-0.05012,-0.70502,1.3685,-0.20102,-0.8988,1.5818,-0.3823
0.27334,1.4733,0.26806,-0.7292,1.8465,-0.13117,-0.1671,1.0622,0.01068,-0.62241,1.2969,-0.32918
0.70774,1.4894,0.52377,-0.39192,1.867,0.11421,0.41064,1.1277,0.25385,-0.35004,1.3995,-0.21968
1.0588,1.4725,0.74978,-0.01787,1.847,0.34984,0.78292,1.3855,0.53486,-0.25209,1.8255,0.00479
0.92191,1.5849,0.92013,0.3864,1.9405,0.63194,0.56841,1.8085,0.74903,-0.21089,1.8358,0.20632
0.94116,1.6775,1.0555,0.62877,2.053,0.8804,0.57154,1.8566,0.87497,0.10744,1.8567,0.4687
0.97533,1.7773,1.1572,0.79149,2.0957,1.0806,0.71251,1.8481,1.0165,0.46471,1.8893,0.76086
1.0634,1.8432,1.229,0.89537,2.0972,1.2103,0.81557,1.9501,1.185,0.75493,1.9809,1.0346
1.0363,1.851,1.2286,0.96779,2.1436,1.2972,0.88035,2.0145,1.2706,1.7558,1.8068,1.3328
1.1869,1.7504,1.1579,0.99861,2.1617,1.3252,0.95625,2.0946,1.3294,2.381,1.2123,1.2052
1.5553,1.5718,1.0509,0.92811,2.0262,1.2337,0.98174,2.0558,1.2864,1.8666,0.91306,0.90353
1.5275,1.5396,0.9605,0.99887,1.9745,1.1799,0.97263,2.0052,1.2061,2.252,1.0492,1.04
1.4579,1.5194,0.85784,1.4386,1.7004,1.0256,1.3931,1.6963,0.97063,2.3749,1.3488,1.171
1.2016,1.6643,0.82952,1.439,1.5932,0.9131,1.5226,1.563,0.82118,1.4871,1.8045,1.2711
0.67442,2.2678,1.0421,1.5074,1.6093,0.83816,1.4293,1.535,0.70471,1.4661,1.7648,1.1889
0.37302,2.4674,1.118,0.96225,1.8285,0.83004,1.2994,1.5682,0.63101,1.3598,1.7317,1.078
0.03595,2.1821,0.98776,0.50188,2.4498,1.0406,0.64874,2.1066,0.85202,1.1634,1.8037,1.0438
-0.0864,1.7195,0.77802,0.21569,2.5918,1.051,0.35818,2.5063,0.99418,0.71,1.6218,0.90558
-0.1166,1.3553,0.55392,-0.10094,2.7824,1.0902,-0.04929,2.8509,1.1131,0.44758,1.345,0.67785
-0.29437,1.5367,0.53958,-0.32187,2.825,1.0659,-0.37301,2.8652,1.1054,0.36563,1.426,0.61667
-0.57205,2.1685,0.73466,-0.4825,2.7011,0.98897,-0.65348,2.8586,1.0884,0.22213,1.9307,0.74288
-0.8246,2.7184,0.86101,-0.64649,2.532,0.91482,-0.87615,2.6111,1.0042,-0.07333,2.514,0.95042
-0.81757,2.8589,0.81929,-0.83052,2.416,0.87721,-0.99919,2.3757,0.91473,-0.47099,3.104,1.1782
-0.58625,2.8293,0.65984,-1.037,2.3932,0.87086,-1.1795,2.3017,0.89218,-0.88698,3.1239,1.2384
-0.3222,2.7309,0.46901,-1.0355,2.3908,0.79262,-1.2012,2.3788,0.83229,-1.1421,2.9708,1.2026
-0.10259,2.4712,0.26185,-0.83716,2.4154,0.65907,-0.89356,2.4981,0.66425,-1.3536,2.7509,1.1531
0.00513,2.228,0.11681,-0.53685,2.4606,0.49092,-0.50572,2.475,0.4334,-1.2612,2.7345,1.0176
0.15612,1.8639,-0.03046,-0.21428,2.4451,0.29822,-0.15631,2.5588,0.23247,-0.95952,2.6737,0.81814
0.6155,1.7976,-0.27987,0.09646,2.4452,0.08943,0.11458,2.4239,0.04096,-0.57993,2.6236,0.58515
-0.15612,1.8639,0.03046,0.95952,2.6737,-0.81814,0.15631,2.5588,-0.23247,0.21428,2.4451,-0.29822
-0.00513,2.228,-0.11681,1.2612,2.7345,-1.0176,0.50572,2.475,-0.4334,0.53685,2.4606,-0.49092
0.10259,2.4712,-0.26185,1.3536,2.7509,-1.1531,0.89356,2.4981,-0.66425,0.83716,2.4154,-0.65907
0.3222,2.7309,-0.46901,1.1421,2.9708,-1.2026,1.2012,2.3788,-0.83229,1.0355,2.3908,-0.79262
0.58625,2.8293,-0.65984,0.88698,3.1239,-1.2384,1.1795,2.3017,-0.89218,1.037,2.3932,-0.87086
0.81757,2.8589,-0.81929,0.47099,3.104,-1.1782,0.99919,2.3757,-0.91473,0.83052,2.416,-0.87721
0.8246,2.7184,-0.86101,0.07333,2.514,-0.95042,0.87615,2.6111,-1.0042,0.64649,2.532,-0.91482
0.57205,2.1685,-0.73466,-0.22213,1.9307,-0.74288,0.65348,2.8586,-1.0884,0.4825,2.7011,-0.98897
0.29437,1.5367,-0.53958,-0.36563,1.426,-0.61667,0.37301,2.8652,-1.1054,0.32187,2.825,-1.0659
0.1166,1.3553,-0.55392,-0.44758,1.345,-0.67785,0.04929,2.8509,-1.1131,0.10094,2.7824,-1.0902
0.0864,1.7195,-0.77802,-0.71,1.6218,-0.90558,-0.35818,2.5063,-0.99418,-0.21569,2.5918,-1.051
-0.03595,2.1821,-0.98776,-1.1634,1.8037,-1.0438,-0.64874,2.1066,-0.85202,-0.50188,2.4498,-1.0406
